code,ingredient,role,effect_text,kind,tier,notes
MER,Медный Реликт (Мир/Голубой),add1,Помогает при дезориентации в пространстве,raw,,
MER,Медный Реликт (Мир/Голубой),add2,Головная боль в височной части,raw,,
MER,Медный Реликт (Мир/Голубой),add3,Снимает дрожжь в конечностях,raw,,
QCH,Калёное Железо (Тело/Синий),main,Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),raw,,
QCH,Калёное Железо (Тело/Синий),add1,Нормализует энергообмен в теле,raw,,
QCH,Калёное Железо (Тело/Синий),add2,Возвращает телу чувствительность,raw,,
QCH,Калёное Железо (Тело/Синий),add3,Наносит повреждения магическим созданиям (работает как слабый яд для существ),poison,weak,
EO,Эссенция призрака,main,"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)",raw,,
EO,Эссенция призрака,add1,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",raw,,
EO,Эссенция призрака,add2,"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",raw,,
EO,Эссенция призрака,add3,"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
EP,Концентрат Эктоплазмы призрака,main,Делает нематериальным (зелёная вуаль),raw,,
EP,Концентрат Эктоплазмы призрака,add1,Вызывает панику,raw,,
EP,Концентрат Эктоплазмы призрака,add2,Вызывает непереносимость солнечного света,raw,,
EP,Концентрат Эктоплазмы призрака,add3,Сильный яд,poison,strong,
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,main,Смертельный яд,poison,deadly,
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,add1,"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",raw,,
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,add2,Разрушает энергетические потоки (при силе 20 разрушается 1 поток),raw,,
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,add3,Усиливает восприимчивость к энергии Тени (урон от Тени *2),raw,,
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,main,Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),raw,,
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,add1,Делает не видимым (по правилам красной вуали),raw,,
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,add2,Средний Яд,poison,medium,
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,add3,Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),raw,,
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,main,"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",raw,,
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,add1,Вызывает Галлюцинации (образы исполненой мечты/грёзы),hallucinations,,
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,add2,Снотворное средство,sleep,,
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,add3,Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),raw,,
IAP,Эссенция Подвея,main,Разжигает чувство вины,raw,,
IAP,Эссенция Подвея,add1,Открывает тягу к природе (обнимать березу и т.д.),raw,,
IAP,Эссенция Подвея,add2,"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",raw,,
IAP,Эссенция Подвея,add3,"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
IBP,Измельченная Борода Подвея,main,Вызывает немоту,raw,,
IBP,Измельченная Борода Подвея,add1,Блокирует Таланты на время работы эликсира,raw,,
IBP,Измельченная Борода Подвея,add2,Делает Нематериальным (зелёная вуаль),raw,,
IBP,Измельченная Борода Подвея,add3,Ненависть к кровным узам (к близким родственикам),raw,,
VZ,Волосы Зелигены/Дриады/Дэндроида,main,Сильное успокоительное,raw,,
VZ,Волосы Зелигены/Дриады/Дэндроида,add1,Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,raw,,
VZ,Волосы Зелигены/Дриады/Дэндроида,add2,"Ослабляют проклятия, на силу зелья/эликсира",raw,,
VZ,Волосы Зелигены/Дриады/Дэндроида,add3,Сильное противоядие,antidote,strong,
PS,Сушеные пальцы Скоге/Ауки,main,"Мстительность, агрессия",raw,,
PS,Сушеные пальцы Скоге/Ауки,add1,Дают возможность разговаривать с растениями,raw,,
PS,Сушеные пальцы Скоге/Ауки,add2,Защищают от воздействий на разум,raw,,
PS,Сушеные пальцы Скоге/Ауки,add3,Сводят с ума,raw,,
CN,Кровь Нулла,main,Средний Яд,poison,medium,
CN,Кровь Нулла,add1,Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),raw,,
CN,Кровь Нулла,add2,"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.",raw,,
CN,Кровь Нулла,add3,Слабый яд,poison,weak,
MIV,Молоко Вилтака,main,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",raw,,
MIV,Молоко Вилтака,add1,Проявляет невидимое,raw,,
MIV,Молоко Вилтака,add2,Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),raw,,
MIV,Молоко Вилтака,add3,Снижает агресивность,raw,,
HS,Хрящи Саламандры,main,Стойкость к любого рода соблазнам,tempt_resist,,
HS,Хрящи Саламандры,add1,Вызывает Магическую Лихорадку (получи карту вируса у МГ),raw,,
HS,Хрящи Саламандры,add2,Повышенная холоднокровность в поступках,raw,,
HS,Хрящи Саламандры,add3,Повышает храбрость и мужество,raw,,
TD,Чешуя Травяного Дракона,main,Клептомания и тяга ко всему блестящему,kleptomania,,
TD,Чешуя Травяного Дракона,add1,Разжигает манию величия,raw,,
TD,Чешуя Травяного Дракона,add2,Позволяет понимать язык животных,raw,,
TD,Чешуя Травяного Дракона,add3,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
KS,Кровь Сильфа,main,Увеличивает Легкомыслие,carefree,,
KS,Кровь Сильфа,add1,Обладает свойствами невидимости (красная вуаль),raw,,
KS,Кровь Сильфа,add2,"Отрезвляет, без похмелья",sobriety,,
KS,Кровь Сильфа,add3,Используется для зелий Левитации,raw,,
KSI,Крылья Сильфа,main,Используется в эликсирах Полета,raw,,
KSI,Крылья Сильфа,add1,"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",raw,,
KSI,Крылья Сильфа,add2,"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",varvara,,
KSI,Крылья Сильфа,add3,Для эликсиров/зелий проникновения в чужой сон,raw,,
GSI,Глаза Сильфа,main,"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.",raw,,
GSI,Глаза Сильфа,add1,"Отрезвляет, без похмелья",sobriety,,
GSI,Глаза Сильфа,add2,Противоядие против средних ядов,antidote,medium,
GSI,Глаза Сильфа,add3,"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",raw,,
TPS,Толченое перо Алконоста/Симурана,main,"Восстанавливает функционирование составляющей части личности ""Воля""",raw,,
TPS,Толченое перо Алконоста/Симурана,add1,Убирает головную боль в затылочной части,raw,,
TPS,Толченое перо Алконоста/Симурана,add2,"Убирает паралич, в том числе от различных ядов и талантов",poison,weak,
TPS,Толченое перо Алконоста/Симурана,add3,Снимает воспаление и зуд кожных покровов,raw,,
KLA,Лапа Алконоста/Симурана,main,Барьер Души снижается до 1 единицы,raw,,
KLA,Лапа Алконоста/Симурана,add1,"Невозможно молчать, нужно всегда что-то говорить или петь",raw,,
KLA,Лапа Алконоста/Симурана,add2,Дает плюс “Фартовый” при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно.,raw,,
KLA,Лапа Алконоста/Симурана,add3,Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),raw,,
MMM,Мясо Маркополо,main,"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""",raw,,
MMM,Мясо Маркополо,add1,Дает неуязвимость к стихийной магии и энергии Души,raw,,
MMM,Мясо Маркополо,add2,Может использоваться против плюсов физического или магического типа,raw,,
MMM,Мясо Маркополо,add3,Может использоваться против плюсов психических и существ,raw,,
VGU,Вареная Грива Ужвениста,main,"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.",raw,,
VGU,Вареная Грива Ужвениста,add1,Может использоваться в эликсирах дарующих красоту (красная Роза),raw,,
VGU,Вареная Грива Ужвениста,add2,"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",raw,,
VGU,Вареная Грива Ужвениста,add3,Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,raw,,
HV,Хорхелла,main,Снижает влечение к противоположному полу,raw,,
HV,Хорхелла,add1,Среднее Противоядие,antidote,medium,
HV,Хорхелла,add2,Против ментального воздействия,mental_protect,,
HV,Хорхелла,add3,Эффект снотворного,sleep,,
FN,Фрамбаозза Норвежская,main,"Эйфория, схожая с опьянением",intoxication,,
FN,Фрамбаозза Норвежская,add1,Жаропонижающаее средство,raw,,
FN,Фрамбаозза Норвежская,add2,Заживляет раны,healing_phys,,
FN,Фрамбаозза Норвежская,add3,Побуждает говорить только правду,truth,,
SC,Солнечный Цвет,main,Слабый яд,poison,weak,
SC,Солнечный Цвет,add1,Ослабляет ментальную защиту,mental_def_down,,
SC,Солнечный Цвет,add2,"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",raw,,
SC,Солнечный Цвет,add3,Заживляет раны,healing_phys,,
SZ,Сербский Златолист,main,Выводит из состояния опьянения,sobriety,,
SZ,Сербский Златолист,add1,Повышает ментальную защиту,mental_protect,,
SZ,Сербский Златолист,add2,Среднее Противоядие,antidote,medium,
SZ,Сербский Златолист,add3,Восстанавливает энергию,restore_energy,,
BH,Белолистый Жёлтоцвет,main,"Путанность мыслей, невозможность их сформулировать",raw,,
BH,Белолистый Жёлтоцвет,add1,Помогает при лихорадке,raw,,
BH,Белолистый Жёлтоцвет,add2,Кровоостанавливающее средство,stop_bleeding,,
BH,Белолистый Жёлтоцвет,add3,Ослабляет ментальную защиту,mental_def_down,,
VT,Вонь трава,main,Вводит в состояние депрессии,raw,,
VT,Вонь трава,add1,Временно снимает эффекты проклятий,raw,,
VT,Вонь трава,add2,Защищает от ментального воздействия,raw,,
VT,Вонь трава,add3,Защищает от нематериальных существ,raw,,
MС,Молодильный Семень,main,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",raw,,
MС,Молодильный Семень,add1,Уменьшает влечение к противоположному полу,raw,,
MС,Молодильный Семень,add2,"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",raw,,
MС,Молодильный Семень,add3,Заставляет непрерывно врать,lie,,
MR,Миртилия Равнинная,main,"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию.",hallucinations,,
MR,Миртилия Равнинная,add1,"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",raw,,
MR,Миртилия Равнинная,add2,Фрагментарное ухудшение памяти,raw,,
MR,Миртилия Равнинная,add3,Заставляет говорить только правду,truth,,
LH,Лиллея Шерстистая,main,Повышает настроение до здоровой веселости,raw,,
LH,Лиллея Шерстистая,add1,Лечит нарушения сна,raw,,
LH,Лиллея Шерстистая,add2,Понижает половое влечение,raw,,
LH,Лиллея Шерстистая,add3,Спасает от кошмаров,raw,,
RK,Рогатый Корень,main,Тонизирует (более слабый вариант бодрости),wake,,
RK,Рогатый Корень,add1,"Способно спасти от смертельных ядов, противоядие",antidote,deadly,
RK,Рогатый Корень,add2,Исцеляет физические раны,healing_phys,,
RK,Рогатый Корень,add3,Увеличивает самую сильную привязанность до влюбленности,raw,,
KLS,Клюква Сибирская,main,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
KLS,Клюква Сибирская,add1,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",raw,,
KLS,Клюква Сибирская,add2,"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",raw,,
KLS,Клюква Сибирская,add3,"Помогает при лихорадке, снижает температуру",raw,,
OM,Омела,main,Средний Яд (открывает кровотечение),poison,medium,BLEEDING
OM,Омела,add1,Бесстрашие и безрассудство,raw,,
OM,Омела,add2,"Выводит из депрессии, повышает общий тонус организма, бодрит",wake,,
OM,Омела,add3,Заставляет фиксироваться на одной цели,raw,,
SA,Снежный Аконит,main,СИЛЬНО повышает настроение,raw,,
SA,Снежный Аконит,add1,Спасает от кошмаров,raw,,
SA,Снежный Аконит,add2,"Усиливает влечение к противоположному полу, афродизиак",raw,,
SA,Снежный Аконит,add3,"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)",raw,,
BN,Белена,main,"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования",hallucinations,,
BN,Белена,add1,"Сильное болеутоляющее, может использоваться, как анастезия",raw,,
BN,Белена,add2,Слабый яд (понижает энергию),poison,weak,ENERGY_DOWN
BN,Белена,add3,Повышает привлекательность для дэймонов,raw,,
BA,Волчий Аконит,main,"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",poison,deadly,
BA,Волчий Аконит,add1,Способно вылечить средний тип болезней,raw,,
BA,Волчий Аконит,add2,"Лечит сумасшествие, нервные расстройства",raw,,
BA,Волчий Аконит,add3,Разрушает наложенное ментальное воздействие,mental_cleanse,,
MA,Марена Аравийская,main,Невозможно уснуть,cannot_sleep,,
MA,Марена Аравийская,add1,"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",wake,,
MA,Марена Аравийская,add2,Бесстрашие и безрассудство,raw,,
MA,Марена Аравийская,add3,Вспыльчивость,raw,,
CG,Цветок Гармонии,main,"Помогает от магии энергий (тело, душа, тень)",raw,,
CG,Цветок Гармонии,add1,Отпугивает Дэймонов,raw,,
CG,Цветок Гармонии,add2,"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)",raw,,
CG,Цветок Гармонии,add3,Вводит в летаргический сон,sleep,,
ZP,Цветок Лжепапорника,main,"От смертельных вирусов, противосполительное",raw,,
ZP,Цветок Лжепапорника,add1,Замедляет процессы в организме любые,raw,,
ZP,Цветок Лжепапорника,add2,От перепадов Настроения,raw,,
ZP,Цветок Лжепапорника,add3,От Тошноты,raw,,
ST,Сон трава,main,"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",raw,,
ST,Сон трава,add1,Сильное снотворное,sleep,,
ST,Сон трава,add2,Убирает симптомы магической чумы на поздних стадиях,raw,,
ST,Сон трава,add3,Слабое Противоядие,antidote,weak,
RYA,Кожура Радужной ягоды,main,"Восстановление функционирования составляющей части личности ""Разум""",raw,,
RYA,Кожура Радужной ягоды,add1,Вызывает головную боль в затылочной части,raw,,
RYA,Кожура Радужной ягоды,add2,Немота,raw,,
RYA,Кожура Радужной ягоды,add3,"""Морская"" болезнь, тошнота",raw,,
SD,Семена дурман-травы,main,"Нарушение функционированя составляющей части личности ""Воля""",raw,,
SD,Семена дурман-травы,add1,Галлюцинации,hallucinations,,
SD,Семена дурман-травы,add2,Потеря координации,raw,,
SD,Семена дурман-травы,add3,Лихорадка,raw,,
RCH,Речница,main,"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.",raw,,
RCH,Речница,add1,Уменьшает силу стихийных чар,raw,,
RCH,Речница,add2,Побуждает рисковать и подбивать на рискованные действия других,raw,,
RCH,Речница,add3,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",raw,,
GRO,Грозовик,main,"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.",intoxication,,
GRO,Грозовик,add1,Усиление магии молнии,raw,,
GRO,Грозовик,add2,Эйфория,raw,,
GRO,Грозовик,add3,"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",raw,,
MHK,Можжевельник кладбищенский,main,"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",raw,,
MHK,Можжевельник кладбищенский,add1,Улучшает ментальную защиту,mental_protect,,
MHK,Можжевельник кладбищенский,add2,Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,raw,,
MHK,Можжевельник кладбищенский,add3,Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),raw,,
SAP,Слюна Упыря/Тэнгри/Альпа,main,Парализует (сильный яд),poison,strong,
SAP,Слюна Упыря/Тэнгри/Альпа,add1,Вызывает кошмары на яву (галюцинации с кошмарами),hallucinations,,
SAP,Слюна Упыря/Тэнгри/Альпа,add2,"Дарует талант ""Каменная Стойкость"" на 2 ступени реализации",raw,,
SAP,Слюна Упыря/Тэнгри/Альпа,add3,"Дарует Талант ""Переносчик Чумы"" на 2 ступени реализации",raw,,
KAL,Клыки Упыря/Тэнгри/Альпа,main,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.",raw,,
KAL,Клыки Упыря/Тэнгри/Альпа,add1,Парализующий сильный яд,poison,strong,
KAL,Клыки Упыря/Тэнгри/Альпа,add2,"Используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)",healing_phys,,
KAL,Клыки Упыря/Тэнгри/Альпа,add3,Разжигает голод до крови 1 ступени (см правила по голоду),raw,,
GLH,Глаз Лиха/Глаза Гуля,main,На 3 часа делает вас отвратительным и не красивым (синяя роза),raw,,
GLH,Глаз Лиха/Глаза Гуля,add1,"Дарует плюс ""Глаза существа"" - Хэйри (при обратной формуле) /Дэймон (при прямой формуле). Может использоваться в зельях, для временного эффекта.",raw,,
GLH,Глаз Лиха/Глаза Гуля,add2,Лишает знаний языков,raw,,
GLH,Глаз Лиха/Глаза Гуля,add3,"Дает магический счит от магии энергии Тени, может использоваться как противовес данной энергии в составе эликсира.",raw,,
QLH,Череп Лиха/Череп Трау,main,"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла  (сила эликсира/2 = + к техникам)",raw,,
QLH,Череп Лиха/Череп Трау,add1,"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",raw,,
QLH,Череп Лиха/Череп Трау,add2,"Дарует талант ""Манипулятор"" на 1 ступени реализации",raw,,
QLH,Череп Лиха/Череп Трау,add3,"Разжигает голод на 1 ступени, до плоти магов",raw,,
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,main,"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",raw,,
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,add1,"Используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)",healing_phys,,
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,add2,Невозможность пересечь круг из твердой квинтэссенции,raw,,
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,add3,Используется в эликсирах для разжигания неудачи (см правила по маркерам),raw,,
ROS,Рога Суккуба/Рога Трау,main,Вызывает сексуальную дисфункцию (спосает от любых приворотов),raw,,
ROS,Рога Суккуба/Рога Трау,add1,Дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),raw,,
ROS,Рога Суккуба/Рога Трау,add2,"Вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)",raw,,
ROS,Рога Суккуба/Рога Трау,add3,Слабый яд,poison,weak,
KDR,Кровь Древнего,main,"Дает плюс ""Великий Лидер"" на 30 минут, над существами вашего вида",raw,,
KDR,Кровь Древнего,add1,Смертельный яд,poison,deadly,
KDR,Кровь Древнего,add2,"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",raw,,
KDR,Кровь Древнего,add3,Дает рандомно (на выбор куба Д10) 1 стихийный талант на 1 ступени,raw,,
STN,Сердце Тени/Марида/Драуга,main,Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,antidote,deadly,
STN,Сердце Тени/Марида/Драуга,add1,Защита от любых магических воздействий,raw,,
STN,Сердце Тени/Марида/Драуга,add2,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
STN,Сердце Тени/Марида/Драуга,add3,"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.",raw,,
