Наименование,Мат. эквивалент,Основной эффект ,Дополнительные эффекты,Обзначение
,,,"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",
,,,Заставляет непрерывно врать,
Миртилия Равнинная,Листья Ежевики,"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию. ","Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел) ",MR
,,,Фрагментарное ухудшение памяти,
,,,Заставляет говорить только правду,
Лиллея Шерстистая,Лаванда,Повышает настроение до здоровой веселости,Лечит нарушения сна ,LH
,,,Понижает половое влечение,
,,,Спасает от кошмаров,
Рогатый Корень,Корень имбиря,Тонизирует (более слабый вариант бодрости),"Способно спасти от смертельных ядов, противоядие",RK
,,,Исцеляет физические раны,
,,,Увеличивает самую сильную привязанность до влюбленности,
Клюква Сибирская,Клюква,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)","Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",KLS
,,,"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",
,,,"Помогает при лихорадке, снижает температуру",
Омела,Иван Чай,Средний Яд (открывает кровотечение),Бесстрашие и безрассудство ,OM
,,,"Выводит из депрессии, повышает общий тонус организма, бодрит",
,,,Заставляет фиксироваться на одной цели ,
Снежный Аконит ,Мята,СИЛЬНО повышает настроение,Спасает от кошмаров ,SA
,,,"Усиливает влечение к противоположному полу, афродизиак",
,,,"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)",
Белена,Жасмин,"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования","Сильное болеутоляющее, может использоваться, как анастезия",BN
,,,Слабый яд (понижает энергию),
,,,Повышает привлекательность для дэймонов,
Волчий Аконит,Мелисса,"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",Способно вылечить средний тип болезней,BA
,,,"Лечит сумасшествие, нервные расстройства",
,,,Разрушает наложенное ментальное воздействие,
Марена Аравийская,Пуэр,Невозможно уснуть,"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",MA
,,,Бесстрашие и безрассудство,
,,,Вспыльчивость,
Цветок Гармонии,Арония,"Помогает от магии энергий (тело, душа, тень)",Отпугивает Дэймонов,CG
,,,"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)",
,,,Вводит в летаргический сон,
Цветок Лжепапорника,Гибискус (суданская роза),"От смертельных вирусов, противосполительное",Замедляет процессы в организме любые,ZP
,,,От перепадов Настроения,
,,,От Тошноты,
Сон трава,Крапива,"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",Сильное снотворное ,ST
,,,Убирает симптомы магической чумы на поздних стадиях ,
,,,Слабое Противоядие,
Кожура Радужной ягоды ,Цедра лимона,"Восстановление функционирования составляющей части личности ""Разум""",Вызывает головную боль в затылочной части,RYA
,,,Немота,
,,,"""Морская"" болезнь, тошнота",
Семена дурман-травы,Фенхель,"Нарушение функционированя составляющей части личности ""Воля""",Галлюцинации,SD
,,,Потеря координации,
,,,Лихорадка,
Речница,Календула,"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах. ",Уменьшает силу стихийных чар,RCH
,,,Побуждает рисковать и подбивать на рискованные действия других,
,,,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",
Грозовик,Шалфей,"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию. ",Усиление магии молнии,GRO
,,,Эйфория,
,,,"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",
Можжевельник кладбищенский,Можжевельник,"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",Улучшает ментальную защиту,MHK
,,,Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,
,,,Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),
