effect_text,kind,tier,notes
"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",raw,,
"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
Позволяет понимать язык животных,raw,,
"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.",raw,,
"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",varvara,,
"Помогает от магии энергий (тело, душа, тень)",raw,,
Помогает при дезориентации в пространстве,raw,,
Помогает при лихорадке,raw,,
"Помогает при лихорадке, снижает температуру",raw,,
Помогает при разного рода омоложении сознания,raw,,
Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),raw,,
Понижает половое влечение,raw,,
Потеря координации,raw,,
Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),raw,,
"Приводит настроение в состояние равновесия, убирает негативные чувтсва",raw,,
Против ментального воздействия,mental_protect,,
Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),raw,,
"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",raw,,
Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,antidote,deadly,
Противоядие против средних ядов,antidote,medium,
Проявляет невидимое,raw,,
"Путанность мыслей, невозможность их сформулировать",raw,,
Разжигает голод до крови 1 ступени (см правила по голоду),raw,,
"Разжигает голод на 1 ступени, до плоти магов",raw,,
"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",raw,,
Разжигает манию величия,raw,,
Разжигает чувство вины,raw,,
Разрушает наложенное ментальное воздействие,mental_cleanse,,
Разрушает энергетические потоки (при силе 20 разрушается 1 поток),raw,,
Сводят с ума,raw,,
СИЛЬНО повышает настроение,raw,,
"Сильное болеутоляющее, может использоваться, как анастезия",raw,,
Сильное противоядие,antidote,strong,
Сильное снотворное,sleep,,
Сильное успокоительное,raw,,
Сильный яд,poison,strong,
Слабое Противоядие,antidote,weak,
Слабый яд,poison,weak,
Слабый яд (понижает энергию),poison,weak,ENERGY_DOWN
Смертельный яд,poison,deadly,
"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",poison,deadly,
Снижает агресивность,raw,,
Снижает влечение к противоположному полу,raw,,
Снимает воспаление и зуд кожных покровов,raw,,
Снимает дрожжь в конечностях,raw,,
"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",raw,,
Снотворное средство,sleep,,
"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",raw,,
"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",raw,,
"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",raw,,
Спасает от кошмаров,raw,,
Способно вылечить средний тип болезней,raw,,
Способно лечить физические раны (восстанавливает хиты),healing_phys,,
"Способно спасти от смертельных ядов, противоядие",antidote,deadly,
Способность генерировать все типы энергий из энергии Души,raw,,
Среднее Противоядие,antidote,medium,
Средний яд,poison,medium,
Средний Яд,poison,medium,
Средний Яд (открывает кровотечение),poison,medium,BLEEDING
Стойкость к любого рода соблазнам,tempt_resist,,
Тонизирует (более слабый вариант бодрости),wake,,
Убирает головную боль в затылочной части,raw,,
"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",raw,,
"Убирает паралич, в том числе от различных ядов и талантов",poison,weak,
Убирает симптомы магической чумы на поздних стадиях,raw,,
Увеличивает Легкомыслие,carefree,,
"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",raw,,
Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),raw,,
"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.",raw,,
Увеличивает самую сильную привязанность до влюбленности,raw,,
Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),raw,,
"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",raw,,
Улучшает ментальную защиту,mental_protect,,
Уменьшает влечение к противоположному полу,raw,,
Уменьшает силу стихийных чар,raw,,
Уравновешенность,balance,,
Усиление магии молнии,raw,,
Усиление способности впитывать энергию,raw,,
"Усиливает влечение к противоположному полу, афродизиак",raw,,
Усиливает восприимчивость к энергии Тени (урон от Тени *2),raw,,
Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),raw,,
"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",raw,,
Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,raw,,
"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",raw,,
"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.",raw,,
"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла  (сила эликсира/2 = + к техникам)",raw,,
"Устойчивость к реализации любых энергий, кроме Тела и Света",raw,,
Фрагментарное ухудшение памяти,raw,,
Эйфория,raw,,
"Эйфория, схожая с опьянением",intoxication,,
Эффект снотворного,sleep,,
"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.",intoxication,,
