effect_text,norm_key,kind,tier,tags
Защищают от воздействий на разум,защищают от воздействий на разум,raw,,
Используется в зельях иллюзий,используется в зельях иллюзий,raw,,
Используется в эликсирах Полета,используется в эликсирах полета,raw,,
Используется в эликсирах для разжигания неудачи (см правила по маркерам),используется в эликсирах для разжигания неудачи (см правила по маркерам),raw,,
Используется для зелий Левитации,используется для зелий левитации,raw,,
"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.","используется для лишения плюса ""глаза существа"" через эликсиры мутаций. при использовании в зельях лишает плюса на время работы зелья.",raw,,
"Используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)","используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)",healing,,
"Используется для очищения от мутаций, а так же может использоваться в элексирах лечения физических ран (востановления хитов)","используется для очищения от мутаций, а так же может использоваться в элексирах лечения физических ран (востановления хитов)",healing,,
"Используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)","используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)",healing,,
Используется для разжигание самоуверености,используется для разжигание самоуверености,raw,,
Используется для смены внешности,используется для смены внешности,raw,,
Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,raw,,
Исцеляет физические раны,исцеляет физические раны,healing,,
Клептомания,клептомания,kleptomania,,
Клептомания и тяга ко всему блестящему,клептомания и тяга ко всему блестящему,kleptomania,,
Кровоостанавливающее средство,кровоостанавливающее средство,stop_bleeding,,
Лечение магических болезней (ментальных),лечение магических болезней (ментальных),raw,,
Лечит нарушения сна,лечит нарушения сна,raw,,
"Лечит сумасшествие, нервные расстройства","лечит сумасшествие, нервные расстройства",raw,,
Лихорадка,лихорадка,raw,,
Лишает знаний языков,лишает знаний языков,raw,,
"Любая музыка, приводит к снижению барьера Воля до единицы","любая музыка, приводит к снижению барьера воля до единицы",raw,,
Магия темпуса на выходе сила*2,магия темпуса на выходе сила*2,raw,,
Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,raw,,
Может использоваться в эликсирах дарующих красоту (красная Роза),может использоваться в эликсирах дарующих красоту (красная роза),raw,,
"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)","может использоваться в эликсирах смены предрасположености (только по средством мутации). при использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",raw,,
Может использоваться против плюсов психических и существ,может использоваться против плюсов психических и существ,raw,,
Может использоваться против плюсов физического или магического типа,может использоваться против плюсов физического или магического типа,raw,,
"Мстительность, агрессия","мстительность, агрессия",raw,,
На 3 часа делает вас отвратительным и не красивым (синяя роза),на 3 часа делает вас отвратительным и не красивым (синяя роза),raw,,
Наносит повреждения магическим созданиям (работает как слабый яд для существ),наносит повреждения магическим созданиям (работает как слабый яд для существ),poison,weak,
Нарушает энергообмен в теле,нарушает энергообмен в теле,raw,,
"Нарушение функционированя составляющей части личности ""Воля""","нарушение функционированя составляющей части личности ""воля""",raw,,
"Натягивает связь тела и личности, деляя ее более короткой","натягивает связь тела и личности, деляя ее более короткой",raw,,
"Невозможно молчать, нужно всегда что-то говорить или петь","невозможно молчать, нужно всегда что-то говорить или петь",raw,,
Невозможно уснуть,невозможно уснуть,cant_sleep,,insomnia
Невозможность пересечь круг из твердой квинтэссенции,невозможность пересечь круг из твердой квинтэссенции,raw,,
Невосприимчивость к боли и обезболивающее,невосприимчивость к боли и обезболивающее,raw,,
"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)","невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",raw,,
"Неконтролируемая сработка таланта ""Истинный Сноходец"" 1 ступени, тоесть выход в мир снов ""Настоящее"" вместе с телом","неконтролируемая сработка таланта ""истинный сноходец"" 1 ступени, тоесть выход в мир снов ""настоящее"" вместе с телом",raw,,
Немота,немота,raw,,
Ненависть к кровным узам (к близким родственикам),ненависть к кровным узам (к близким родственикам),raw,,
Непереносимость солнечного света - при нахождении более 10 минут вводит в состояние тяжедого ранения (ожоги кожи),непереносимость солнечного света - при нахождении более 10 минут вводит в состояние тяжедого ранения (ожоги кожи),raw,,
Нормализует энергообмен в теле,нормализует энергообмен в теле,raw,,
Обладает свойствами невидимости (красная вуаль),обладает свойствами невидимости (красная вуаль),raw,,
"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")","обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""превращение"" и блокировку плюса ""второй облик"")",raw,,
"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь","омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",raw,,
"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)","ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",raw,,
Ослабляет ментальную защиту,ослабляет ментальную защиту,mental_protection,,
"Ослабляют проклятия, на силу зелья/эликсира","ослабляют проклятия, на силу зелья/эликсира",raw,,
От Тошноты,от тошноты,raw,,
От перепадов Настроения,от перепадов настроения,raw,,
"От смертельных вирусов, противосполительное","от смертельных вирусов, противосполительное",raw,,
Открывает скрытые таланты (при наличии талантов 0 ступени),открывает скрытые таланты (при наличии талантов 0 ступени),raw,,
"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)","открывает способности к переходу за грань (одноразовая сработка таланта ""обманщик ограничений на 1 ступени)",raw,,
Открывает тягу к природе (обнимать березу и т.д.),открывает тягу к природе (обнимать березу и т.д.),raw,,
Отпугивает Дэймонов,отпугивает дэймонов,raw,,
"Отрезвляет, без похмелья","отрезвляет, без похмелья",sobriety,,
Очищает разум,очищает разум,raw,,
Парализует (сильный яд),парализует (сильный яд),poison,strong,paralysis
Парализует погружая в магический стазис,парализует погружая в магический стазис,raw,,
Парализующий сильный яд,парализующий сильный яд,poison,strong,paralysis
Побуждает говорить только правду,побуждает говорить только правду,truth,,
Побуждает рисковать и подбивать на рискованные действия других,побуждает рисковать и подбивать на рискованные действия других,raw,,
Повышает ментальную защиту,повышает ментальную защиту,mental_protection,,
Повышает настроение до здоровой веселости,повышает настроение до здоровой веселости,raw,,
"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.","повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.",raw,,
Повышает привлекательность для дэймонов,повышает привлекательность для дэймонов,raw,,
Повышает храбрость и мужество,повышает храбрость и мужество,raw,,
Повышенная болтливость и честность (может использоваться в зельях/эликсирах правды),повышенная болтливость и честность (может использоваться в зельях/эликсирах правды),raw,,
Повышенная мстительность,повышенная мстительность,raw,,
Повышенная холоднокровность в поступках,повышенная холоднокровность в поступках,raw,,
"Повышенное недовольство ко всему, ворчливость","повышенное недовольство ко всему, ворчливость",raw,,
"Повышенный уровень шкодливости и игривого поведения ""Шило в Попе""","повышенный уровень шкодливости и игривого поведения ""шило в попе""",raw,,
"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)","позволяет взять под контроль любого мага по аналогии с талантом ""знаменитый кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",raw,,
"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")","позволяет видеть невидимое и скрытое (работает как плюс ""глаза существа - элементаль"")",raw,,
"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")","позволяет видеть сквозь красную вуаль (работает как плюс ""глаза существа - элементаль"")",raw,,
"Позволяет выйти в мир снов Настоящее, как после применения соответсвующих заклинаний сноходства","позволяет выйти в мир снов настоящее, как после применения соответсвующих заклинаний сноходства",raw,,
"Позволяет выйти с телом в мир снов, по правилам истинного сноходца","позволяет выйти с телом в мир снов, по правилам истинного сноходца",raw,,
"Позволяет использовать талант ""улыбка Хитреца"" 1 ступени","позволяет использовать талант ""улыбка хитреца"" 1 ступени",raw,,
Позволяет понимать язык животных,позволяет понимать язык животных,raw,,
"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.","позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. при использовании в зелье, снятие идет временное.",raw,,
Позволяет стать неосязаемым (зеленая вуаль),позволяет стать неосязаемым (зеленая вуаль),raw,,
Позволяет увеличить безопасно время нахождения в стазисе/коме время увеличивается на ступень*10 минут,позволяет увеличить безопасно время нахождения в стазисе/коме время увеличивается на ступень*10 минут,raw,,
Позволяет увеличить контроль магии (сила любых магических техник *2),позволяет увеличить контроль магии (сила любых магических техник *2),raw,,
Покрытие золотой чешуей (физ. щит силой вашего эликсира/зелья),покрытие золотой чешуей (физ. щит силой вашего эликсира/зелья),raw,,
"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.","получение минуса ""любопытная варвара"" (только по средством мутации). при использовании в зельях минус появляется временно, пока работает зелье.",curious_varvara,,
"Помогает от магии энергий (тело, душа, тень)","помогает от магии энергий (тело, душа, тень)",raw,,
Помогает при дезориентации в пространстве,помогает при дезориентации в пространстве,raw,,
Помогает при лихорадке,помогает при лихорадке,raw,,
"Помогает при лихорадке, снижает температуру","помогает при лихорадке, снижает температуру",raw,,
Помогает при разного рода омоложении сознания,помогает при разного рода омоложении сознания,raw,,
Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),понижает голод (позволяет заглушить голод персонажа фруктами или овощами),raw,,
Понижает половое влечение,понижает половое влечение,raw,,
Потеря координации,потеря координации,raw,,
Превращает любые металлы в калленое железо,превращает любые металлы в калленое железо,raw,,
Привлекает духов,привлекает духов,raw,,
Приводит в баланс энергии Жизни и Смерти в теле (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),приводит в баланс энергии жизни и смерти в теле (выравнивает кол-во карт жизни и смерти в теле лекаря в меньшую сторону),raw,,
"Приводит в состояние эйфории, открывает личность (снижает ментальные барьеры до 1)","приводит в состояние эйфории, открывает личность (снижает ментальные барьеры до 1)",intoxication,,
"Приводит настроение в состояние равновесия, убирает негативные чувтсва","приводит настроение в состояние равновесия, убирает негативные чувтсва",raw,,
Призывает на вашу сторону Удачу/Фортуну. Маркер Золотых Звезд.,призывает на вашу сторону удачу/фортуну. маркер золотых звезд.,raw,,
Призывает удачу (маркер золотых звезд),призывает удачу (маркер золотых звезд),raw,,
Против ментального воздействия,против ментального воздействия,mental_protection,,
Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),raw,,
"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)","против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)","противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",raw,,
Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,противоядие от смертельных ядов. при использовании в мутации свойство противоядия становится постоянным для организма.,antidote,deadly,
Противоядие против средних ядов,противоядие против средних ядов,antidote,medium,
Проявляет невидимое,проявляет невидимое,raw,,
"Путанность мыслей, невозможность их сформулировать","путанность мыслей, невозможность их сформулировать",raw,,
Разжигает голод до крови 1 ступени (см правила по голоду),разжигает голод до крови 1 ступени (см правила по голоду),raw,,
"Разжигает голод на 1 ступени, до плоти магов","разжигает голод на 1 ступени, до плоти магов",raw,,
"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)","разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",raw,,
Разжигает манию величия,разжигает манию величия,raw,,
Разжигает паранойю,разжигает паранойю,raw,,
"Разжигает страсть к прекрасному (искусство, слова, предметы и т.п.)","разжигает страсть к прекрасному (искусство, слова, предметы и т.п.)",raw,,
Разжигает чувство вины,разжигает чувство вины,raw,,
Разрушает наложенное ментальное воздействие,разрушает наложенное ментальное воздействие,mental_cleanse,,
Разрушает энергетические потоки (при силе 20 разрушается 1 поток),разрушает энергетические потоки (при силе 20 разрушается 1 поток),raw,,
СИЛЬНО повышает настроение,сильно повышает настроение,raw,,
Сводят с ума,сводят с ума,raw,,
"Сильное болеутоляющее, может использоваться, как анастезия","сильное болеутоляющее, может использоваться, как анастезия",raw,,
Сильное противоядие,сильное противоядие,antidote,strong,
Сильное снотворное,сильное снотворное,sleep,,
Сильное успокоительное,сильное успокоительное,raw,,
Сильный отворотный компонент.,сильный отворотный компонент.,raw,,
Сильный яд,сильный яд,poison,strong,
"Сильный яд для любых персонажей, кто раскрыл талант","сильный яд для любых персонажей, кто раскрыл талант",poison,strong,
Слабое Противоядие,слабое противоядие,antidote,weak,
"Слабость к музыке: доверие как к близкому другу к любому, кто является источником музыки (поет, играет, включил музыку)","слабость к музыке: доверие как к близкому другу к любому, кто является источником музыки (поет, играет, включил музыку)",raw,,
Слабый яд,слабый яд,poison,weak,
Слабый яд (понижает энергию),слабый яд (понижает энергию),poison_energy_down,weak,energy_down
"Слабый яд, для змееподобных существ (драконы, различные змеи, полукровки от них и т.д.)","слабый яд, для змееподобных существ (драконы, различные змеи, полукровки от них и т.д.)",poison,weak,
Смена любой предрасположенности на Энергию Разума,смена любой предрасположенности на энергию разума,raw,,
Смертельный Яд,смертельный яд,poison,deadly,
Смертельный яд,смертельный яд,poison,deadly,
"Смертельный яд для перевертышей (обладатели таланта ""Превращение"")","смертельный яд для перевертышей (обладатели таланта ""превращение"")",poison,deadly,shapeshifter
Снижает агресивность,снижает агресивность,raw,,
Снижает влечение к противоположному полу,снижает влечение к противоположному полу,raw,,
Снимает воспаление и зуд кожных покровов,снимает воспаление и зуд кожных покровов,raw,,
Снимает дрожжь в конечностях,снимает дрожжь в конечностях,raw,,
"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.","снимает последствия питания дэймона, против ""дырявой души"". способно откатить симптомы данной болезни.",raw,,
Снотворное,снотворное,sleep,,
Снотворное средство,снотворное средство,sleep,,
"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)","совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",raw,,
"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)","согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",raw,,
"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)","состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",raw,,
Спасает от кошмаров,спасает от кошмаров,hallucinations,,
Способно вылечить средний тип болезней,способно вылечить средний тип болезней,raw,,
Способно лечить физические раны (восстанавливает хиты),способно лечить физические раны (восстанавливает хиты),healing,,
"Способно спасти от смертельных ядов, противоядие","способно спасти от смертельных ядов, противоядие",antidote,deadly,
Способность генерировать все типы энергий из энергии Души,способность генерировать все типы энергий из энергии души,raw,,
Среднее Противоядие,среднее противоядие,antidote,medium,
Средний Яд,средний яд,poison,medium,
Средний Яд (открывает кровотечение),средний яд (открывает кровотечение),poison_bleeding,medium,bleeding
Средний яд,средний яд,poison,medium,
Стойкость к любого рода соблазнам,стойкость к любого рода соблазнам,temptation_resistance,,
