code,name,material,slot,slot_index,effect_text,source
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add3,3,"Натягивает связь тела и личности, деляя ее более короткой",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,main,0,Используется в эликсирах Полета,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add1,1,"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add2,2,"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add3,3,Для эликсиров/зелий проникновения в чужой сон,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,main,0,"Позволяет использовать талант ""улыбка Хитреца"" 1 ступени",Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add1,1,"Слабость к музыке: доверие как к близкому другу к любому, кто является источником музыки (поет, играет, включил музыку)",Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add2,2,Клептомания,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add3,3,Повышенная мстительность,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,main,0,Магия темпуса на выходе сила*2,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add1,1,Возврат в нормальное состояние тела и разума для типа существа и чистоты крови,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add2,2,Покрытие золотой чешуей (физ. щит силой вашего эликсира/зелья),Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add3,3,Позволяет увеличить безопасно время нахождения в стазисе/коме время увеличивается на ступень*10 минут,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,main,0,"Слабый яд, для змееподобных существ (драконы, различные змеи, полукровки от них и т.д.)",Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add1,1,Призывает удачу (маркер золотых звезд),Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add2,2,"Вызывает заболевание ""Дырявая Душа"" (получить аскольд карту у МГ)",Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add3,3,"Позволяет выйти в мир снов Настоящее, как после применения соответсвующих заклинаний сноходства",Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,main,0,Повышает настроение до здоровой веселости,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add1,1,Лечит нарушения сна,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add2,2,Понижает половое влечение,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add3,3,Спасает от кошмаров,Copy of Лаборатория Агнес.xlsx
MA,Марена Аравийская,Пуэр,main,0,Невозможно уснуть,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add1,1,"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add2,2,Бесстрашие и безрассудство,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add3,3,Вспыльчивость,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,main,0,Помогает при разного рода омоложении сознания,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add1,1,Помогает при дезориентации в пространстве,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add2,2,Головная боль в височной части,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add3,3,Снимает дрожжь в конечностях,10.2 Алхимия_ Молодой Аристократ.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,main,0,Успокаивает до безэмоциональности,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add1,1,Очищает разум,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add2,2,Восстанавливает память,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add3,3,Снотворное,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,main,0,"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,add1,1,Улучшает ментальную защиту,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,add2,2,Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,add3,3,Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),Copy of Лаборатория Агнес.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,main,0,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add1,1,Проявляет невидимое,10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add2,2,Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add3,3,Снижает агресивность,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,main,0,"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""",10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add1,1,Дает неуязвимость к стихийной магии и энергии Души,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add2,2,Может использоваться против плюсов физического или магического типа,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add3,3,Может использоваться против плюсов психических и существ,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,main,0,"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию.",10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add1,1,"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add2,2,Фрагментарное ухудшение памяти,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add3,3,Заставляет говорить только правду,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,main,0,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add1,1,Уменьшает влечение к противоположному полу,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add2,2,"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add3,3,Заставляет непрерывно врать,10.2 Алхимия_ Молодой Аристократ.xlsx
OM,Омела,Иван Чай,main,0,Средний Яд (открывает кровотечение),Copy of Лаборатория Агнес.xlsx
OM,Омела,Иван Чай,add1,1,Бесстрашие и безрассудство,Copy of Лаборатория Агнес.xlsx
OM,Омела,Иван Чай,add2,2,"Выводит из депрессии, повышает общий тонус организма, бодрит",Copy of Лаборатория Агнес.xlsx
